
=== strategy=seu-us  seed=0  missing_rate=0.2 ===
 Round  #Remaining        Mean         Min         Max    #Pos
     0        3414    -0.05038    -2.51814     0.00000     108
     1        3413    -0.03446    -1.93148     0.00000      71
     2        3412    -0.06921    -2.00614     0.00000      66
     3        3411    -0.03530    -2.67796     0.00000      77
     4        3410    -0.04538    -2.67796     0.00000      84
     5        3409    -0.02184    -1.35866     0.00000      67
     6        3408    -0.02640    -1.73235     0.00000      83
     7        3407    -0.04603    -2.62132     0.00000      81
     8        3406    -0.02629    -1.89807     0.00000      97
     9        3405    -0.02889    -1.97011     0.00000      93
    10        3404    -0.03209    -1.85783     0.00000     101
    11        3403    -0.02782    -2.00444     0.00000      83
    12        3402    -0.04165    -2.51879     0.00000      79
    13        3401    -0.04592    -1.97018     0.00000      85
    14        3400    -0.04673    -2.68137     0.00000      88
    15        3399    -0.03013    -2.62018     0.00000      83
    16        3398    -0.02362    -1.33536     0.00000      85
    17        3397    -0.02878    -1.96099     0.00000      60
    18        3396    -0.02564    -1.37496     0.00000      74
    19        3395    -0.02399    -1.59652     0.00000      91
    20        3394    -0.03957    -2.07252     0.00000      84
    21        3393    -0.02996    -2.28644     0.00000      78
    22        3392    -0.04567    -2.07445     0.00000      67
    23        3391    -0.03589    -2.59403     0.00000      80
    24        3390    -0.02637    -2.34513     0.00000      77
    25        3389    -0.02450    -1.96092     0.00000      66
    26        3388    -0.03727    -1.75094     0.00000      73
    27        3387    -0.05564    -2.62015     0.00000      86
    28        3386    -0.04697    -2.28821     0.00000      80
    29        3385    -0.02244    -1.73739     0.00000      70
    30        3384    -0.03257    -2.62015     0.00000      78
    31        3383    -0.02040    -1.18061     0.00000      79
    32        3382    -0.04358    -2.68138     0.00000      99
    33        3381    -0.03895    -2.00444     0.00000      85
    34        3380    -0.04296    -2.00444     0.00000      81
    35        3379    -0.05349    -2.62016     0.00000      73
    36        3378    -0.03499    -2.00445     0.00000      88
    37        3377    -0.03527    -1.84615     0.00000      82
    38        3376    -0.04528    -2.62015     0.00000      79
    39        3375    -0.03913    -2.34378     0.00000      83
    40        3374    -0.04448    -2.62016     0.00000      90
    41        3373    -0.02237    -2.00290     0.00000      83
    42        3372    -0.04336    -2.35302     0.00000      71
    43        3371    -0.05277    -2.28996     0.00000      97
    44        3370    -0.02869    -1.73711     0.00000      79
    45        3369    -0.05975    -2.68138     0.00000      82
    46        3368    -0.06395    -2.52675     0.00000      71
    47        3367    -0.03330    -1.75092     0.00000      77
    48        3366    -0.04320    -2.68137     0.00000      85
    49        3365    -0.05669    -2.01125     0.00000      82
    50        3364    -0.02593    -2.17890     0.00000      70
    51        3363    -0.04264    -2.17890     0.00000      84
    52        3362    -0.03502    -2.35298     0.00000      78
    53        3361    -0.02731    -1.86520     0.00000      79
    54        3360    -0.03152    -2.69140     0.00000      85
    55        3359    -0.05855    -2.69140     0.00000      84
    56        3358    -0.04580    -2.01125     0.00000      76
    57        3357    -0.03627    -1.98051     0.00000      93
    58        3356    -0.04591    -2.17890     0.00000      84
    59        3355    -0.02001    -1.97073     0.00000      72
    60        3354    -0.03646    -2.09546     0.00000      88
    61        3353    -0.02654    -1.97081     0.00000      87
    62        3352    -0.03095    -2.09732     0.00000      85
    63        3351    -0.04129    -2.34613     0.00000      71
    64        3350    -0.02665    -1.97084     0.00000      58
    65        3349    -0.03191    -2.02954     0.00000      85
    66        3348    -0.02264    -1.31261     0.00000      98
    67        3347    -0.03973    -1.94096     0.00000      91
    68        3346    -0.01893    -1.37030     0.00000      75
    69        3345    -0.04504    -2.29650     0.00000      86
    70        3344    -0.05236    -2.69526     0.00000      71
    71        3343    -0.04454    -2.35299     0.00000      78
    72        3342    -0.04517    -1.86375     0.00000      61
    73        3341    -0.03008    -1.73156     0.00000      75
    74        3340    -0.04023    -2.52678     0.00000      59
    75        3339    -0.02324    -1.54688     0.00000      70
    76        3338    -0.03801    -2.04786     0.00000      86
    77        3337    -0.03946    -2.01286     0.00000      75
    78        3336    -0.04800    -2.29013     0.00000      56
    79        3335    -0.02548    -1.75093     0.00000      74
    80        3334    -0.03619    -2.08195     0.00000      70
    81        3333    -0.02630    -2.35750     0.00000      85
    82        3332    -0.02365    -1.49870     0.00000      77
    83        3331    -0.04491    -2.69527     0.00000      78
    84        3330    -0.03302    -2.52680     0.00000      67
    85        3329    -0.05935    -2.52685     0.00000      82
    86        3328    -0.06135    -2.35301     0.00000      74
    87        3327    -0.03873    -1.97096     0.00000      72
    88        3326    -0.03172    -1.75098     0.00000      72
    89        3325    -0.05542    -2.35739     0.00000      82
    90        3324    -0.06871    -2.52691     0.00000      83
    91        3323    -0.05932    -2.62404     0.00000      79
    92        3322    -0.02877    -2.01873     0.00000      89
    93        3321    -0.03297    -2.17917     0.00000      85
    94        3320    -0.02598    -2.60266     0.00000      91
    95        3319    -0.05944    -2.08782     0.00000      71
    96        3318    -0.02986    -1.95620     0.00000      80
    97        3317    -0.04161    -1.95593     0.00000      84
    98        3316    -0.02563    -2.35683     0.00000      79
    99        3315    -0.04935    -2.70744     0.00000      77
   100        3314    -0.03392    -2.52711     0.00000      79
   101        3313    -0.04571    -1.96595     0.00000      71
   102        3312    -0.03108    -1.75098     0.00000      66
   103        3311    -0.02037    -1.00720     0.00000      73
   104        3310    -0.04415    -2.70743     0.00000      69
   105        3309    -0.01629    -1.57073     0.00000      66
   106        3308    -0.05100    -2.52698     0.00000      84
   107        3307    -0.03353    -2.28727     0.00000      68
   108        3306    -0.02590    -1.73514     0.00000      88
   109        3305    -0.02624    -1.99585     0.00000      74
   110        3304    -0.01598    -1.30606     0.00000      82
   111        3303    -0.04023    -1.96595     0.00000      68
   112        3302    -0.04158    -2.70743     0.00000      71
   113        3301    -0.04785    -2.61162     0.00000      88
   114        3300    -0.05495    -2.70743     0.00000      75
   115        3299    -0.04297    -2.35617     0.00000      73
   116        3298    -0.01659    -0.99827     0.00000      77
   117        3297    -0.02955    -1.84978     0.00000      62
   118        3296    -0.04764    -2.35617     0.00000      83
   119        3295    -0.04359    -2.35133     0.00000      64
   120        3294    -0.03858    -2.29210     0.00000      61
   121        3293    -0.03091    -1.99410     0.00000      70
   122        3292    -0.03741    -1.61013     0.00000      65
   123        3291    -0.05083    -2.35617     0.00000      68
   124        3290    -0.04458    -2.35618     0.00000      75
   125        3289    -0.03172    -1.84782     0.00000      76
   126        3288    -0.02549    -1.96843     0.00000      81
   127        3287    -0.03369    -1.96818     0.00000      82
   128        3286    -0.03731    -2.62317     0.00000      63
   129        3285    -0.02744    -2.35619     0.00000      75
   130        3284    -0.05172    -2.62358     0.00000      64
   131        3283    -0.04082    -2.52767     0.00000      71
   132        3282    -0.04515    -2.35618     0.00000      81
   133        3281    -0.03665    -2.52773     0.00000      80
   134        3280    -0.03744    -1.83101     0.00000      74
   135        3279    -0.03901    -2.36401     0.00000      68
   136        3278    -0.04376    -2.36401     0.00000      63
   137        3277    -0.02533    -1.84679     0.00000      68
   138        3276    -0.03360    -2.15065     0.00000      81
   139        3275    -0.03985    -2.62218     0.00000      84
   140        3274    -0.04076    -1.83084     0.00000      60
   141        3273    -0.03226    -1.96219     0.00000      91
   142        3272    -0.06534    -2.35741     0.00000      67
   143        3271    -0.06041    -2.18056     0.00000      90
   144        3270    -0.03846    -1.75098     0.00000      88
   145        3269    -0.04844    -2.30106     0.00000      80
   146        3268    -0.03515    -2.71750     0.00000      70
   147        3267    -0.04783    -2.35796     0.00000      63
   148        3266    -0.03115    -2.30316     0.00000      73
   149        3265    -0.03256    -1.31717     0.00000      69
   150        3264    -0.04650    -2.49993     0.00000      79
   151        3263    -0.02612    -2.14153     0.00000      73
   152        3262    -0.06622    -2.71755     0.00000      73
   153        3261    -0.06075    -1.90813     0.00000      72
   154        3260    -0.03102    -1.59392     0.00000      72
   155        3259    -0.04972    -2.62939     0.00000      70
   156        3258    -0.05728    -2.71754     0.00000      84
   157        3257    -0.04797    -2.62999     0.00000      70
   158        3256    -0.05821    -2.18071     0.00000      68
   159        3255    -0.01448    -1.00268     0.00000      73
   160        3254    -0.02735    -1.75097     0.00000      65
   161        3253    -0.03039    -1.99298     0.00000      73
   162        3252    -0.03571    -1.99758     0.00000      59
   163        3251    -0.04083    -2.50008     0.00000      73
   164        3250    -0.03965    -2.36399     0.00000      78
   165        3249    -0.04379    -2.72155     0.00000      76
   166        3248    -0.04251    -2.13030     0.00000      65
   167        3247    -0.03446    -2.14768     0.00000      65
   168        3246    -0.01778    -2.12360     0.00000      80
   169        3245    -0.03030    -2.63503     0.00000      72
   170        3244    -0.05026    -2.63888     0.00000      63
   171        3243    -0.01974    -0.91713     0.00000      73
   172        3242    -0.03687    -2.63956     0.00000      70
   173        3241    -0.04848    -2.72555     0.00000      73
   174        3240    -0.03135    -2.72554     0.00000      75
   175        3239    -0.02990    -2.64322     0.00000      70
   176        3238    -0.04559    -2.72554     0.00000      82
   177        3237    -0.04026    -1.95177     0.00000      56
   178        3236    -0.02326    -1.60900     0.00000      61
   179        3235    -0.03565    -2.48323     0.00000      70
   180        3234    -0.05139    -2.18527     0.00000      73
   181        3233    -0.04089    -2.16920     0.00000      60
   182        3232    -0.05500    -2.72555     0.00000      75
   183        3231    -0.05134    -2.62942     0.00000      65
   184        3230    -0.04414    -2.62942     0.00000      75
   185        3229    -0.02573    -1.39372     0.00000      71
   186        3228    -0.01792    -1.30727     0.00000      73
   187        3227    -0.04407    -2.48332     0.00000      62
   188        3226    -0.03727    -2.31339     0.00000      76
   189        3225    -0.05591    -2.72556     0.00000      77
   190        3224    -0.03869    -2.36400     0.00000      58
   191        3223    -0.03656    -1.91237     0.00000      68
   192        3222    -0.03007    -1.73106     0.00000      71
   193        3221    -0.04585    -1.92252     0.00000      76
   194        3220    -0.04201    -2.62941     0.00000      74
   195        3219    -0.03711    -1.96219     0.00000      76
   196        3218    -0.04591    -2.72555     0.00000      65
   197        3217    -0.02733    -1.91237     0.00000      59
   198        3216    -0.04126    -2.72555     0.00000      80
   199        3215    -0.04171    -2.36262     0.00000      74
   200        3214    -0.03575    -2.63837     0.00000      61
   201        3213    -0.03220    -1.35584     0.00000      66
   202        3212    -0.04929    -2.49400     0.00000      71
   203        3211    -0.04146    -2.49400     0.00000      65
   204        3210    -0.04701    -1.39670     0.00000      71
   205        3209    -0.05774    -2.72555     0.00000      84
   206        3208    -0.02354    -1.73196     0.00000      75
   207        3207    -0.04932    -2.72555     0.00000      73
   208        3206    -0.05524    -2.49706     0.00000      61
   209        3205    -0.04284    -2.12490     0.00000      68
   210        3204    -0.03154    -1.93968     0.00000      74
   211        3203    -0.04979    -2.18724     0.00000      68
   212        3202    -0.03983    -2.49666     0.00000      74
   213        3201    -0.03130    -1.99203     0.00000      67
   214        3200    -0.05595    -2.72554     0.00000      67
   215        3199    -0.03211    -2.08312     0.00000      74
   216        3198    -0.04532    -2.20013     0.00000      63
   217        3197    -0.03293    -2.30663     0.00000      71
   218        3196    -0.03658    -2.36755     0.00000      57
   219        3195    -0.04074    -2.36318     0.00000      59
   220        3194    -0.05356    -2.63125     0.00000      72
   221        3193    -0.04508    -2.06666     0.00000      53
   222        3192    -0.05080    -2.04418     0.00000      71
   223        3191    -0.03603    -1.73992     0.00000      49
   224        3190    -0.03220    -1.81821     0.00000      69
   225        3189    -0.04408    -2.63182     0.00000      69
   226        3188    -0.03264    -2.63219     0.00000      58
   227        3187    -0.02874    -2.72551     0.00000      58
   228        3186    -0.02878    -1.32535     0.00000      65
   229        3185    -0.04662    -1.99223     0.00000      61
   230        3184    -0.03148    -1.99544     0.00000      71
   231        3183    -0.05325    -2.63126     0.00000      81
   232        3182    -0.02704    -1.98040     0.00000      82
   233        3181    -0.04645    -2.36757     0.00000      56
   234        3180    -0.04077    -2.63126     0.00000      61
   235        3179    -0.03134    -2.20176     0.00000      71
   236        3178    -0.04554    -2.72550     0.00000      77
   237        3177    -0.05617    -2.63127     0.00000      63
   238        3176    -0.03385    -1.97740     0.00000      67
   239        3175    -0.04501    -2.63126     0.00000      64
   240        3174    -0.02545    -2.04418     0.00000      86
   241        3173    -0.04080    -2.72550     0.00000      66
   242        3172    -0.03131    -2.36756     0.00000      81
   243        3171    -0.05873    -2.04418     0.00000      66
   244        3170    -0.05731    -2.64012     0.00000      63
   245        3169    -0.04494    -2.63954     0.00000      64
   246        3168    -0.07027    -2.63988     0.00000      69
   247        3167    -0.03643    -1.72582     0.00000      63
   248        3166    -0.05124    -2.31212     0.00000      54
   249        3165    -0.06797    -2.72499     0.00000      61
   250        3164    -0.04765    -2.63842     0.00000      71
   251        3163    -0.03892    -2.20152     0.00000      66
   252        3162    -0.04964    -2.63124     0.00000      73
   253        3161    -0.05025    -2.31224     0.00000      64
   254        3160    -0.04250    -2.50061     0.00000      63
   255        3159    -0.07110    -2.72500     0.00000      62
   256        3158    -0.04330    -1.91762     0.00000      65
   257        3157    -0.05555    -2.50074     0.00000      60
   258        3156    -0.04509    -2.50081     0.00000      53
   259        3155    -0.03926    -2.21381     0.00000      66
   260        3154    -0.03019    -1.40431     0.00000      52
   261        3153    -0.04212    -2.63124     0.00000      69
   262        3152    -0.03810    -1.73991     0.00000      64
   263        3151    -0.05319    -2.50094     0.00000      67
   264        3150    -0.03739    -1.99697     0.00000      57
   265        3149    -0.05017    -2.72505     0.00000      58
   266        3148    -0.02651    -2.22058     0.00000      72
   267        3147    -0.03804    -2.37145     0.00000      65
   268        3146    -0.03695    -2.21740     0.00000      64
   269        3145    -0.01919    -1.32451     0.00000      63
   270        3144    -0.05191    -2.72504     0.00000      69
   271        3143    -0.03957    -2.36875     0.00000      71
   272        3142    -0.02501    -2.08638     0.00000      68
   273        3141    -0.06147    -2.63126     0.00000      60
   274        3140    -0.06502    -2.50466     0.00000      73
   275        3139    -0.07296    -2.63127     0.00000      65
   276        3138    -0.04920    -2.05053     0.00000      67
   277        3137    -0.04059    -1.40652     0.00000      71
   278        3136    -0.03642    -2.36883     0.00000      68
   279        3135    -0.02970    -2.72504     0.00000      61
   280        3134    -0.04548    -2.07947     0.00000      69
   281        3133    -0.04037    -2.50479     0.00000      66
   282        3132    -0.06081    -2.36912     0.00000      66
   283        3131    -0.06763    -2.37147     0.00000      61
   284        3130    -0.05760    -2.37148     0.00000      63
   285        3129    -0.04763    -2.72505     0.00000      54
   286        3128    -0.05578    -2.64226     0.00000      70
   287        3127    -0.04040    -1.95690     0.00000      65
